# x80,y99,z0,u,v,p,T
1.423795326648823537e-02,1.227469958079341252e-04,0.000000000000000000e+00,3.757734166753602523e+01,1.565090071913920744e-01,1.939871517883869600e+01,4.093334266442173544e+02
1.556626250647062323e-02,1.227469958079341252e-04,0.000000000000000000e+00,3.566250494881361988e+01,1.342554311338710893e-01,1.897955071010177619e+01,4.072466024300195500e+02
1.698755339325177388e-02,1.227469958079341252e-04,0.000000000000000000e+00,3.387939341524376857e+01,1.161692528053225870e-01,1.857771383144622490e+01,4.053092297546982650e+02
1.850833464210760448e-02,1.227469958079341252e-04,0.000000000000000000e+00,3.221325044797550419e+01,1.002657631037369435e-01,1.819384025029212637e+01,4.035069112731504219e+02
2.013557057838334663e-02,1.227469958079341252e-04,0.000000000000000000e+00,3.065583187920617192e+01,8.628365619855210555e-02,1.782392504824581536e+01,4.018240726759416930e+02
2.187671303019839142e-02,1.227469958079341252e-04,0.000000000000000000e+00,2.919429488033873454e+01,7.414523551099394538e-02,1.746941849178942263e+01,4.002511877084618845e+02
2.373973545364049115e-02,1.227469958079341252e-04,0.000000000000000000e+00,2.782189768584624545e+01,6.427895049758160229e-02,1.712690642943400476e+01,3.987777272553908006e+02
2.573316944672353335e-02,1.227469958079341252e-04,0.000000000000000000e+00,2.652937001122281657e+01,5.549858770120524865e-02,1.679763868185849063e+01,3.973960443128625570e+02
2.786614381932239065e-02,1.227469958079341252e-04,0.000000000000000000e+00,2.531243863728686350e+01,4.759772189412107835e-02,1.647873266069329290e+01,3.960967122985936726e+02
3.014842639800316415e-02,1.227469958079341252e-04,0.000000000000000000e+00,2.416318507361968670e+01,4.063478160718949489e-02,1.617150547847107234e+01,3.948741245198428942e+02
3.259046875719159853e-02,1.227469958079341252e-04,0.000000000000000000e+00,2.307747287579892159e+01,3.497786334176090917e-02,1.587363586945892457e+01,3.937218261927570211e+02
3.520345408152322775e-02,1.227469958079341252e-04,0.000000000000000000e+00,2.204938230381604214e+01,2.994829064569154431e-02,1.558623401994949731e+01,3.926351113489409954e+02
3.799934837855806213e-02,1.227469958079341252e-04,0.000000000000000000e+00,2.107619769896130535e+01,2.537259616941374765e-02,1.530728925333413315e+01,3.916078650427618868e+02
4.099095527638534076e-02,1.227469958079341252e-04,0.000000000000000000e+00,2.015263331293154536e+01,2.140119885525723978e-02,1.503796070891994852e+01,3.906364487505937291e+02
