# rhoA,rhoUA,rhoVA,rhoEA,LR
-2.544938381015688930e-06,7.660825837093303852e-10,-1.419624425005570978e-10,-4.918596674867334410e-13,1.215766545905693738e-05
-2.226426571152846157e-06,7.855895226914218630e-10,-1.462893703230041849e-10,-5.162755194569274492e-13,1.215766545905693738e-05
-1.823305895590316820e-06,8.045041850549329542e-10,-1.536802723413192855e-10,-5.455898831720791924e-13,1.215766545905693738e-05
-1.323728918639196051e-06,8.217604304629768312e-10,-1.645514623740878507e-10,-5.800611566790175632e-13,1.215766545905693738e-05
-7.148010646999831207e-07,8.357805287131282026e-10,-1.791444547514127946e-10,-6.194771998415969333e-13,1.215766545905693738e-05
1.457522996109341630e-08,8.452449641170120549e-10,-1.976551009037848084e-10,-6.640671055693812743e-13,1.215766545905693738e-05
8.769250723054461380e-07,8.484398802246051804e-10,-2.201099097165716711e-10,-7.128452898100587166e-13,1.215766545905693738e-05
1.881122976016582994e-06,8.439324984241196771e-10,-2.462688830160336307e-10,-7.655233343470437387e-13,1.215766545905693738e-05
3.037424853324731440e-06,8.299787959470096880e-10,-2.757860998268072845e-10,-8.208676829597902924e-13,1.215766545905693738e-05
4.349377079058569568e-06,8.056094071757164241e-10,-3.080209987230169188e-10,-8.784630066678918006e-13,1.215766545905693738e-05
5.823782221885287315e-06,7.697279836948323540e-10,-3.422059754934441608e-10,-9.361302362251433293e-13,1.215766545905693738e-05
7.460110019530000346e-06,7.211620744090088785e-10,-3.772973710813250306e-10,-9.928432490682209210e-13,1.215766545905693738e-05
9.254151388216031205e-06,6.598347998300423688e-10,-4.122855613281721161e-10,-1.047249657827524112e-12,1.215766545905693738e-05
1.120138144751098296e-05,5.855520231303501661e-10,-4.460190651951463285e-10,-1.097649977425549282e-12,1.215766545905693738e-05
1.329061102488478058e-05,4.984321061231547003e-10,-4.771784046474163614e-10,-1.142486934537546907e-12,1.215766545905693738e-05
1.550734146188535029e-05,3.985665374504072987e-10,-5.047060070941127682e-10,-1.180122271616230422e-12,1.215766545905693738e-05
1.782936968186065615e-05,2.866831800038913543e-10,-5.274283727373516659e-10,-1.209223849778239231e-12,1.215766545905693738e-05
2.023312301287394607e-05,1.640150287608483968e-10,-5.444214379207675570e-10,-1.228514609927709239e-12,1.215766545905693738e-05
2.268731232686020056e-05,3.096766579287474441e-11,-5.548099254577445321e-10,-1.236331269806139772e-12,1.215766545905693738e-05
2.515181830882623175e-05,-1.109053407535413558e-10,-5.577852033736847842e-10,-1.231684333522087160e-12,1.215766545905693738e-05
2.758557580756566788e-05,-2.599459489246887455e-10,-5.529740498636693159e-10,-1.213578106852679515e-12,1.215766545905693738e-05
2.993632564682402675e-05,-4.150198912076005172e-10,-5.399426802943602291e-10,-1.180922805916123152e-12,1.215766545905693738e-05
3.214292750723462232e-05,-5.738541584906734812e-10,-5.183923363938040528e-10,-1.132887442184602061e-12,1.215766545905693738e-05
3.414150756450084963e-05,-7.340156465736843891e-10,-4.886932187662687683e-10,-1.069517047384271922e-12,1.215766545905693738e-05
3.585716483504852308e-05,-8.934500673226343737e-10,-4.508458257245485008e-10,-9.901032391972425858e-13,1.215766545905693738e-05
3.720542077575448366e-05,-1.048923564420727890e-09,-4.051279144619213309e-10,-8.944886034804991039e-13,1.215766545905693738e-05
3.809905864561346681e-05,-1.196665838881857616e-09,-3.526817547934099641e-10,-7.841613608904670182e-13,1.215766545905693738e-05
